tx_price,beds,baths,sqft,year_built,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year
295850,1,1,584,2013,0,Apartment / Condo / Townhouse,Wood Siding,,,107,9,30,19,89,6,47,58,33,65,84,234,81,9,3,2013
216500,1,1,612,1965,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,105,15,6,13,87,2,26,14,39,73,69,169,51,3,3,2006
279900,1,1,615,1963,0,Apartment / Condo / Townhouse,Wood Siding,,,183,13,31,30,101,10,74,62,28,15,86,216,74,8,3,2012
379900,1,1,618,2000,33541,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,127,11,72,83,36,25,91,265,92,9,3,2005
340000,1,1,634,1992,0,Apartment / Condo / Townhouse,Brick,,,149,7,22,20,83,10,50,73,37,20,75,88,30,9,3,2002
265000,1,1,641,1947,0,Apartment / Condo / Townhouse,Brick,,,146,10,23,27,86,9,60,52,28,15,86,168,58,8,3,2004
240000,1,1,642,1944,0,Single-Family,Brick,,,159,13,36,17,92,12,66,50,28,36,88,176,61,7,3,2011
388100,1,1,650,2000,33541,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,127,11,72,83,36,25,91,266,92,9,3,2005
240000,1,1,660,1983,0,Apartment / Condo / Townhouse,Brick,,,51,8,6,2,40,18,32,41,36,49,77,188,65,6,3,2013
250000,1,1,664,1965,0,Apartment / Condo / Townhouse,Brick,,,119,10,26,25,183,13,70,36,57,13,83,147,51,6,3,2007
335000,1,1,669,2006,0,Apartment / Condo / Townhouse,Wood Siding,,,148,10,27,23,57,5,37,29,34,29,88,248,86,6,3,2015
376750,1,1,673,2005,46609,Apartment / Condo / Townhouse,Concrete Block,,,193,10,37,27,133,10,74,86,29,15,82,262,90,9,3,2006
210000,1,1,680,1963,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,8,1,0,3,10,1,10,10,60,15,63,147,44,4,3,2006
289900,1,1,685,1960,48787,Apartment / Condo / Townhouse,Brick,,,189,13,37,31,102,11,75,64,28,15,86,195,68,8,3,2005
535000,1,1,687,2008,0,Apartment / Condo / Townhouse,Wood Siding,,,266,12,54,45,328,35,126,88,28,52,72,421,146,8,3,2014
218000,1,1,689,1988,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,150,6,20,27,329,12,83,46,32,33,92,188,57,10,3,2009
400000,1,1,689,2008,0,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,126,12,72,84,29,15,82,276,96,9,3,2016
226000,1,1,690,1997,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,60,3,9,15,156,3,30,12,36,47,83,221,67,8,3,2008
363700,1,1,692,2007,0,Apartment / Condo / Townhouse,Brick,,,180,14,37,34,104,13,72,68,36,25,75,302,104,8,3,2007
215000,1,1,698,1963,0,Apartment / Condo / Townhouse,Brick,,,31,6,5,8,32,2,19,14,32,60,47,120,42,7,3,2005
327000,1,1,698,2005,9686,Apartment / Condo / Townhouse,Concrete Block,,,146,7,22,20,79,10,49,74,27,21,94,256,88,9,3,2010
331100,1,1,700,2005,9686,Apartment / Condo / Townhouse,Concrete Block,,,146,7,22,20,79,10,49,74,27,21,94,251,87,9,3,2012
